device,storage,price,retail_price,url
Galaxy S9,64,699.99,699.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-s9
iPhone 7,32,549.99,549.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone7-32gb-jet-black
iPhone 7 Plus,32,669.99,669.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone7-plus-32gb-jet-black
iPhone 8,64,699.99,699.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-8-64gb-space-gray
iPhone 8,256,849.99,849.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-8-256gb-space-gray
iPhone 8 Plus,64,799.99,799.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-8-plus-64gb-gold
iPhone 8 Plus,256,949.99,949.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-8-plus-256gb-space-gray
iPhone X,64,999.99,999.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-x-64gb-space-gray
iPhone X,256,1149.99,1149.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-x-256gb-space-gray
LG Fortune,16,49.99,49.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-fortune
ZTE Overture 3,2,19.99,19.99,https://www.cricketwireless.com/cell-phones/smartphones/zte-overture-3
Galaxy Amp 2,32 ,49.99,49.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-amp-2-32gb
Alcatel VERSO,16,29.99,29.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-verso
LG Fortune 2,16,99.99,99.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-fortune2
LG Harmony,16,79.99,79.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-harmony
LG X charge,16,129.99,129.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-x-charge
LG Stylo 3,16,149.99,149.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-stylo-3-rose-gold
ZTE Blade X Max,32,129.99,129.99,https://www.cricketwireless.com/cell-phones/smartphones/zte-blade-x-max
Galaxy Amp Prime 2,16,99.99,99.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-amp-prime2
Galaxy Halo,32,179.99,179.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-halo-32gb
ZTE Blade X,16,79.99,79.99,https://www.cricketwireless.com/cell-phones/smartphones/zte-blade-x
Alcatel OneTouch Idol 3,2,69.99,69.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-onetouch-idol-3
Alcatel PULSEMIX,16,59.99,59.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-pulsemix
ZTE Sonata 3,1,9.99,9.99,https://www.cricketwireless.com/cell-phones/smartphones/zte-sonata-3-certified
Alcatel PIXI THEATRE,16,49.99,49.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-pixi-theatre
Galaxy Amp Prime,16,69.99,69.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-amp-prime
iPhone SE,32,159.99,159.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-se-32gb-space-gray
iPhone 6,32,199.99,199.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-6-32gb-space-gray
iPhone 6s,32,299.99,299.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-6s-32gb-space-gray
iPhone 6s Plus,32,399.99,399.99,https://www.cricketwireless.com/cell-phones/smartphones/apple-iphone-6s-plus-32gb-space-gray
Galaxy Sol,8,39.99,39.99,https://www.cricketwireless.com/cell-phones/smartphones/samsung-galaxy-sol-certified
Alcatel IDOL 4 With VR Goggles,16,89.99,89.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-idol4-vr
Alcatel IDOL 5,32,179.99,179.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-idol5
HTC Desire 555,16,89.99,89.99,https://www.cricketwireless.com/cell-phones/smartphones/htc-desire-555
HTC Desire 520,1,19.99,19.99,https://www.cricketwireless.com/cell-phones/smartphones/htc-desire-520-certified
Alcatel STREAK,8,9.99,9.99,https://www.cricketwireless.com/cell-phones/smartphones/alcatel-streak-certified
LG Spree,8,9.99,9.99,https://www.cricketwireless.com/cell-phones/smartphones/lg-spree-certified
