device,storage,monthly_price,onetime_price,retail_price,contract_ufc,url
Galaxy S9+,64,38.74,0.0,929.99,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s9-plus/
Galaxy S9,64,33.33,0.0,799.99,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s9/
iPhone X,64,41.66,0.0,999.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-x/
Pixel 2 XL,64,35.41,0.0,849.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-2-xl/
iPhone 8 Plus,64,33.33,0.0,799.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-8-plus/
Moto Z2 Force Edition,64,31.5,0.0,756.0,0.0,https://www.verizonwireless.com/smartphones/moto-z2-force/
iPhone 8,64,29.16,0.0,699.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-8/
iPhone SE,32,10.0,0.0,349.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-se/
Galaxy Note8,64,40.0,0.0,960.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-note-8/
Pixel 2,64,27.08,0.0,649.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-2/
Moto Z2 Play,32,10.0,0.0,408.0,0.0,https://www.verizonwireless.com/smartphones/moto-z2-play/
ASUS ZenFone V,32,0.0,0.0,240.0,0.0,https://www.verizonwireless.com/smartphones/asus-zenfone-v/
Galaxy J7 V,16,10.0,0.0,240.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-j7-v/
LG K20 V,16,7.0,0.0,168.0,0.0,https://www.verizonwireless.com/smartphones/lg-k20-v/
iPhone 7,32,22.91,0.0,549.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-7/
Galaxy S8+,64,32.0,0.0,768.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s8-plus/
Galaxy S7,32,20.0,0.0,480.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s7/
Galaxy S8,64,29.0,0.0,696.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-s8/
iPhone 6s,32,18.74,0.0,449.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-6s/
Galaxy J3 Eclipse,16,7.0,0.0,168.0,0.0,https://www.verizonwireless.com/smartphones/samsung-galaxy-j3-eclipse/
iPhone 7 Plus,32,27.91,0.0,669.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-7-plus/
Kyocera DuraForce PRO,32,17.0,0.0,408.0,0.0,https://www.verizonwireless.com/smartphones/kyocera-duraforce-pro/
LG Stylo 2 V,16,5.0,0.0,240.0,0.0,https://www.verizonwireless.com/smartphones/lg-stylo-2-v/
Pixel XL,32,27.91,0.0,669.99,0.0,https://www.verizonwireless.com/smartphones/google-pixel-xl/
LG G6,32,28.0,0.0,672.0,0.0,https://www.verizonwireless.com/smartphones/lg-g6/
iPhone 6s Plus,32,22.91,0.0,549.99,0.0,https://www.verizonwireless.com/smartphones/apple-iphone-6s-plus/
ASUS ZenFone V Live,16,7.0,0.0,168.0,0.0,https://www.verizonwireless.com/smartphones/asus-zenfone-v-live/
LG V30,64,35.0,0.0,840.0,0.0,https://www.verizonwireless.com/smartphones/lg-v30/
