device,is_tablet,is_flagship,is_flipphone
metrosmart ride,no,no,no
alcatel a30,yes,no,no
alcatel a30 8,yes,no,no
alcatel a30 fierce,no,no,no
alcatel cameox,no,no,no
alcatel fierce 4,no,no,no
alcatel go flip,no,no,yes
alcatel idol 4,no,no,no
alcatel idol 4 with vr goggles,no,no,no
alcatel idol 5,no,no,no
alcatel onetouch idol 3,no,no,no
alcatel onetouch pixi tab 7,yes,no,no
alcatel pixi theatre,no,no,no
alcatel pulsemix,no,no,no
alcatel streak,no,no,no
alcatel tru,no,no,no
alcatel verso,no,no,no
alcatel 7,no,no,no
all,no,no,no
asus zenfone v,no,no,no
asus zenfone v live,no,no,no
asus zenpad 10,yes,no,no
asus zenpad 8,yes,no,no
asus zenpad 8s,yes,no,no
at&t primetime,yes,no,no
blackberry keyone,no,no,no
coolpad defiant,no,no,no
essential phone,no,no,no
galaxy amp 2,no,no,no
galaxy amp 2 prime 2,no,no,no
galaxy amp prime,no,no,no
galaxy amp prime 2,no,no,no
galaxy amp prime 3,no,no,no
galaxy book,yes,no,no
galaxy express prime 2,no,no,no
galaxy express prime 3 ,no,no,no
galaxy halo,no,no,no
galaxy j3 (2017),no,no,no
galaxy j3 (2018) ,no,no,no
galaxy j3 achieve,no,no,no
galaxy j3 eclipse,no,no,no
galaxy j3 emerge,no,no,no
galaxy j3 mission,no,no,no
galaxy j3 prime,no,no,no
galaxy j3 star,no,no,no
galaxy j3 v (2018),no,no,no
galaxy j7,no,no,no
galaxy j7 (2017),no,no,no
galaxy j7 (2018),no,no,no
galaxy j7 perx,no,no,no
galaxy j7 prime,no,no,no
galaxy j7 refine,no,no,no
galaxy j7 star,no,no,no
galaxy j7 v,no,no,no
galaxy j7 v (2018),no,no,no
galaxy note8,no,no,no
galaxy note9,no,yes,no
galaxy on5,no,no,no
galaxy s3,no,no,no
galaxy s7,no,no,no
galaxy s8,no,yes,no
galaxy s8 active,no,yes,no
galaxy s8+,no,yes,no
galaxy s9,no,yes,no
galaxy s9+,no,yes,no
galaxy sol,no ,no,no
galaxy tab a,yes,no,no
galaxy tab e,yes,no,no
galaxy tab e 8,yes,no,no
galaxy tab s2,yes,no,no
galaxy tab s3,yes,no,no
galaxy tab*,yes,no,no
galaxy tab s4,yes,no,no
galaxy*,no,no,no
hp elite x2 1012 g1,yes,no,no
hp elite x2 2012 g1,no,no,no
htc bolt,no,no,no
htc desire 520,no,no,no
htc desire 530,no,no,no
htc desire 555,no,no,no
htc u11,no,no,no
htc u11 life,no,no,no
ipad 9.7,yes,no,no
ipad 9.7 (2018),yes,no,no
ipad air 2,yes,no,no
ipad mini 4,yes,no,no
ipad pro,yes,no,no
ipad pro 10.5,yes,no,no
ipad pro 12.9,yes,no,no
ipad pro 9.7,yes,no,no
ipad*,yes,no,no
iphone 6,no,no,no
iphone 6s,no,no,no
iphone 6s plus,no,no,no
iphone 7,no,no,no
iphone 7 plus,no,no,no
iphone 8,no,yes,no
iphone 8 plus,no,yes,no
iphone se,no,no,no
iphone se silver,no,no,no
iphone x,no,yes,no
iphone*,no,no,no
kyocera duraforce pro,no,no,no
lenovo moto tab,yes,no,no
lg aristo,no,no,no
lg aristo 2,no,no,no
lg aristo 2 plus,no,no,no
lg fortune,no,no,no
lg fortune 2,no ,no,no
lg phoenix plus,no,no,no
lg g pad f2 8.0,yes,no,no
lg g pad x2 8 plus,yes,no,no
lg g vista,no,no,no
lg g5,no,no,no
lg g6,no,no,no
lg g7 thinq,no,yes,no
lg q7 plus,no,yes,no
lg harmony,no,no,no
lg harmony 2,no,no,no
lg k20,no,no,no
lg k20 plus,no,no,no
lg k20 v,no,no,no
lg k20+,no,no,no
lg k30,no,no,no
lg k8 v,no,no,no
lg optimus zone 3,no,no,no
lg phoenix 3,no ,no,no
lg spree,no,no,no
lg stylo 2 plus,no,no,no
lg stylo 2 v,no,no,no
lg stylo 3,no,no,no
lg stylo 3 plus,no,no,no
lg stylo 4,no,no,no
lg tribute dynasty,no,no,no
lg tribute hd,no,no,no
lg v30,no,yes,no
lg v30+,no,yes,no
lg v35 thinq,no,yes,no
lg x charge,no,no,no
lg x power,no,no,no
lg x venture,no,no,no
lg zone 3,no,no,no
lg zone 4,no,no,no
moto e,no,no,no
moto e4,no,no,no
moto e4 plus,no,no,no
moto e5 cruise,no,no,no
moto e5 play,no,no,no
moto e5 plus,no,no,no
moto e5 supra,no,no,no
moto g6,no,no,no
moto g6 play,no,no,no
moto z force droid,no,no,no
moto z2 force edition,no,yes,no
moto z2 play,no,no,no
moto z3 play,no,no,no
moto z3,no,no,no
pixel,no,no,no
pixel 2,no,no,no
pixel 2 xl,no,yes,no
pixel xl,no,yes,no
samsung galaxy sol,no,no,no
select,no,no,no
slate 8 plus tablet,yes,no,no
slate 8 tablet,yes,no,no
sonim xp8,no,no,no
tmobile revvl,no,no,no
tmobile revvl plus,no,no,no
verizon ellipsis 10,yes,no,no
verizon ellipsis 8 hd,yes,no,no
verizon gizmotab,yes,no,no
verzion gizmotab,yes,no,no
zte avid 4,no,no,no
zte avid trio,no,no,no
zte axon m,no,no,no
zte blade spark,no,no,no
zte blade vantage,no,no,no
zte blade x,no,no,no
zte blade x max,no,no,no
zte blade z max,no,no,no
zte cymbal lte,no,no,yes
zte cymbal z-320,no,no,yes
zte maven 2,no ,no,no
zte maven 3,no ,no,no
zte max xl,no,no,no
zte overture 3,no,no,no
zte sonata 3,no,no,no
